time_s,temp_C,pwm_pct,error
866,20.185,100.0,3.185
867,20.185,100.0,3.185
868,20.538,100.0,3.538
869,20.006,100.0,3.006
870,20.274,100.0,3.274
871,19.655,100.0,2.655
872,20.006,100.0,3.006
873,20.095,100.0,3.095
874,19.831,100.0,2.831
875,20.451,100.0,3.451
876,20.185,100.0,3.185
877,20.362,100.0,3.362
878,19.918,100.0,2.918
879,19.298,97.8,2.298
880,20.608,100.0,3.608
881,20.451,100.0,3.451
882,20.095,100.0,3.095
883,20.451,100.0,3.451
884,20.185,100.0,3.185
885,20.362,100.0,3.362
886,20.274,100.0,3.274
887,20.538,100.0,3.538
888,19.918,100.0,2.918
889,19.918,100.0,2.918
890,20.362,100.0,3.362
891,20.095,100.0,3.095
892,20.748,100.0,3.748
893,19.655,100.0,2.655
894,20.274,100.0,3.274
895,20.678,100.0,3.678
896,20.274,100.0,3.274
897,20.362,100.0,3.362
898,20.095,100.0,3.095
899,20.678,100.0,3.678
900,20.451,100.0,3.451
901,20.274,100.0,3.274
902,20.274,100.0,3.274
903,20.006,100.0,3.006
904,20.362,100.0,3.362
905,21.154,100.0,4.154
906,20.274,100.0,3.274
907,20.274,100.0,3.274
908,20.608,100.0,3.608
909,20.608,100.0,3.608
910,20.362,100.0,3.362
911,20.748,100.0,3.748
912,20.362,100.0,3.362
913,20.608,100.0,3.608
914,20.274,100.0,3.274
915,20.095,100.0,3.095
916,20.274,100.0,3.274
917,20.538,100.0,3.538
918,20.095,100.0,3.095
919,20.006,100.0,3.006
920,20.185,100.0,3.185
921,20.185,100.0,3.185
922,20.678,100.0,3.678
923,19.655,100.0,2.655
924,19.027,96.1,2.027
925,20.972,100.0,3.972
926,20.274,100.0,3.274
927,20.006,100.0,3.006
928,20.095,100.0,3.095
929,20.185,100.0,3.185
930,21.245,100.0,4.245
931,20.817,100.0,3.817
932,19.831,100.0,2.831
933,19.655,100.0,2.655
939,19.477,100.0,2.477
940,20.451,100.0,3.451
941,19.566,100.0,2.566
942,20.274,100.0,3.274
943,20.538,100.0,3.538
944,20.608,100.0,3.608
945,20.185,100.0,3.185
946,19.831,100.0,2.831
947,19.831,100.0,2.831
948,20.006,100.0,3.006
949,20.185,100.0,3.185
950,19.743,100.0,2.743
951,19.918,100.0,2.918
952,20.274,100.0,3.274
953,20.817,100.0,3.817
954,20.886,100.0,3.886
955,19.118,97.2,2.118
956,20.451,100.0,3.451
957,20.006,100.0,3.006
958,20.185,100.0,3.185
959,20.006,100.0,3.006
960,20.538,100.0,3.538
961,20.006,100.0,3.006
962,19.831,100.0,2.831
963,20.748,100.0,3.748
964,20.678,100.0,3.678
965,19.566,100.0,2.566
